cve_id,exploit_name,service,port,auth_required,remote,severity,exploitability,label
CVE-2018-19524,Skyworth GPON HomeGateways and Optical Network Terminals - Stack Overflow,http,80,0,1,CRITICAL,3.9,2
CVE-2014-2575,DevExpress ASPxFileManager 10.2 < 13.2.8 - Directory Traversal,http,80,1,1,MEDIUM,8.0,2
CVE-2015-2794,DotNetNuke 07.04.00 - Administration Authentication Bypass,http,80,0,1,CRITICAL,3.9,2
CVE-2016-6272,EPIC MyChart - X-Path Injection,https,443,0,1,HIGH,3.9,2
CVE-2014-4311,Epicor Enterprise 7.4 - Multiple Vulnerabilities,https,443,0,1,MEDIUM,10.0,2
CVE-2014-4312,Epicor Enterprise 7.4 - Multiple Vulnerabilities,https,443,0,1,MEDIUM,8.6,2
CVE-2015-5520,Orchard CMS 1.7.3/1.8.2/1.9.0 - Persistent Cross-Site Scripting,http,80,0,1,MEDIUM,8.6,2
CVE-2014-2043,Procentia IntelliPen 1.1.12.1520 - 'data.aspx' Blind SQL Injection,http,80,1,1,MEDIUM,8.0,2
CVE-2019-13493,Sitecore 9.0 rev 171002 - Persistent Cross-Site Scripting,https,443,1,1,MEDIUM,2.3,2
CVE-2001-0093,BSD - 'TelnetD' Remote Command Execution (1),telnet,23,0,0,HIGH,3.9,2
CVE-2004-0777,Courier-IMAP 3.0.2-r1 - 'auth_debug()' Remote Format String,imap,143,0,1,HIGH,10.0,2
CVE-2003-0849,GNU CFEngine 2.-2.0.3 - Remote Stack Overflow,other,5308,0,1,HIGH,10.0,2
CVE-2005-2878,GNU Mailutils imap4d 0.6 (FreeBSD) - 'Search' Remote Format String,imap,143,0,1,HIGH,10.0,2
CVE-2001-0029,Oops! 1.4.6 - one russi4n proxy-server Heap Buffer Overflow,other,3128,0,1,HIGH,10.0,2
CVE-2001-0053,OpenBSD ftpd 2.6/2.7 - Remote Overflow,ftp,21,0,1,HIGH,10.0,2
CVE-2015-5452,Watchguard XCS - Remote Command Execution (Metasploit),https,443,0,1,HIGH,10.0,2
CVE-2015-5453,Watchguard XCS - Remote Command Execution (Metasploit),https,443,1,1,MEDIUM,8.0,2
CVE-2008-7232,Xtacacsd 4.1.2 - 'report()' Remote Buffer Overflow (Metasploit),other,49,0,1,HIGH,10.0,1
CVE-2014-5370,BlueDragon CFChart Servlet 7.1.1.17759 - Arbitrary File Retrieval/Deletion,http,80,0,1,HIGH,10.0,2
CVE-2000-0443,HP JetAdmin 5.5.177/jetadmin 5.6 - Directory Traversal,other,8000,0,1,HIGH,10.0,2
CVE-2014-6271,IPFire - 'Shellshock' Bash Environment Variable Command Injection (Metasploit),other,444,0,1,CRITICAL,3.9,1
CVE-2005-2799,Linksys WRT54G < 4.20.7 / WRT54GS < 1.05.2 - 'apply.cgi' Remote Buffer Overflow (Metasploit),http,80,0,1,HIGH,10.0,2
CVE-2017-6334,Netgear DGN2200 - 'dnslookup.cgi' Command Injection (Metasploit),http,80,1,1,HIGH,2.8,1
CVE-2016-6277,Netgear R7000 / R6400 - 'cgi-bin' Command Injection (Metasploit),http,80,0,1,HIGH,2.8,1
CVE-2016-10174,Netgear WNR2000v5 - Remote Code Execution,http,80,0,1,CRITICAL,3.9,1
CVE-2016-10175,Netgear WNR2000v5 - Remote Code Execution,http,80,0,1,CRITICAL,3.9,2
CVE-2016-10176,Netgear WNR2000v5 - Remote Code Execution,http,80,0,1,CRITICAL,3.9,2
CVE-2019-9624,Webmin 1.900 - Remote Command Execution (Metasploit),other,10000,0,0,HIGH,1.8,2
CVE-2014-8387,Advantech EKI-6340 - Command Injection,http,80,1,1,HIGH,8.0,2
CVE-2014-9345,Advertise With Pleasure! (AWP) 6.6 - SQL Injection,http,80,0,1,HIGH,10.0,2
CVE-2015-9266,AirOS 6.x - Arbitrary File Upload,https,443,0,1,CRITICAL,3.9,2
CVE-2007-3010,Alcatel-Lucent OmniPCX Enterprise Communication Server 7.1 - masterCGI Command Injection (Metasploit),https,443,0,1,CRITICAL,3.9,1
CVE-2018-11509,ASUSTOR ADM 3.1.0.RFQ3 - Remote Command Execution / SQL Injection,other,8001,0,1,CRITICAL,3.9,2
CVE-2018-11510,ASUSTOR ADM 3.1.0.RFQ3 - Remote Command Execution / SQL Injection,other,8001,0,1,CRITICAL,3.9,2
CVE-2018-11511,ASUSTOR ADM 3.1.0.RFQ3 - Remote Command Execution / SQL Injection,other,8001,0,1,CRITICAL,3.9,2
CVE-2015-2248,Dell SonicWALL Secure Remote Access (SRA) Appliance - Cross-Site Request Forgery,https,443,0,1,MEDIUM,8.6,2
CVE-2010-3906,gitWeb 1.7.3.3 - Cross-Site Scripting,http,80,0,1,MEDIUM,8.6,2
CVE-2014-6137,IBM Endpoint Manager - Persistent Cross-Site Scripting,other,52311,0,1,MEDIUM,8.6,2
CVE-2019-8387,Master IP CAM 01 3.3.4.2103 - Remote Command Execution,http,80,0,1,CRITICAL,3.9,2
CVE-2017-16787,Meinberg LANTIME Web Configuration Utility 6.16.008 - Arbitrary File Read,https,443,1,1,MEDIUM,2.8,2
CVE-2015-6023,NetCommWireless HSPA 3G10WVE Wireless Router - Multiple Vulnerabilities,http,80,0,1,HIGH,3.9,2
CVE-2015-6024,NetCommWireless HSPA 3G10WVE Wireless Router - Multiple Vulnerabilities,http,80,0,1,CRITICAL,3.9,2
CVE-2017-8835,Peplink Balance Routers 7.0.0-build1904 - SQL Injection / Cross-Site Scripting / Information Disclosure,https,443,0,1,CRITICAL,3.9,2
CVE-2017-8836,Peplink Balance Routers 7.0.0-build1904 - SQL Injection / Cross-Site Scripting / Information Disclosure,https,443,0,1,HIGH,2.8,2
CVE-2017-8837,Peplink Balance Routers 7.0.0-build1904 - SQL Injection / Cross-Site Scripting / Information Disclosure,https,443,0,1,CRITICAL,3.9,2
CVE-2017-8838,Peplink Balance Routers 7.0.0-build1904 - SQL Injection / Cross-Site Scripting / Information Disclosure,https,443,0,1,MEDIUM,2.8,2
CVE-2017-8839,Peplink Balance Routers 7.0.0-build1904 - SQL Injection / Cross-Site Scripting / Information Disclosure,https,443,0,1,MEDIUM,2.8,2
CVE-2017-8840,Peplink Balance Routers 7.0.0-build1904 - SQL Injection / Cross-Site Scripting / Information Disclosure,https,443,0,1,MEDIUM,3.9,2
CVE-2017-8841,Peplink Balance Routers 7.0.0-build1904 - SQL Injection / Cross-Site Scripting / Information Disclosure,https,443,1,1,HIGH,2.8,2
CVE-2018-20326,PLC Wireless Router GPN2.4P21-C-CN - Cross-Site Scripting,http,80,0,1,MEDIUM,2.8,2
CVE-2018-20503,SirsiDynix e-Library 3.5.x - Cross-Site Scripting,http,80,0,1,MEDIUM,2.8,2
CVE-2014-6278,Sun Secure Global Desktop and Oracle Global Desktop 4.61.915 - Command Injection (Shellshock),http,80,0,1,HIGH,2.8,1
CVE-2013-6987,Synology DSM 4.3-3810 - Directory Traversal,http,80,0,1,HIGH,10.0,2
