text,tactic
"extra window memory injection adversaries may inject malicious code into process via extra window memory ewm in order to evade process based defenses as well as possibly elevate privileges ewm injection is a method of executing arbitrary code in the address space of a separate live process before creating a window, graphical windows based processes must prescribe to or register a windows class, which stipulate appearance windows",defense-evasion
"extra window memory injection adversaries may inject malicious code into process via extra window memory ewm in order to evade process based defenses as well as possibly elevate privileges ewm injection is a method of executing arbitrary code in the address space of a separate live process before creating a window, graphical windows based processes must prescribe to or register a windows class, which stipulate appearance windows",privilege-escalation
"scheduled task adversaries may abuse the windows task scheduler to perform task scheduling for initial or recurring execution of malicious code there are multiple ways to access the task scheduler in windows the schtasks utility can be run directly on the command line, or the task scheduler can be opened through the gui within the administrator tools section of the co windows",execution
"scheduled task adversaries may abuse the windows task scheduler to perform task scheduling for initial or recurring execution of malicious code there are multiple ways to access the task scheduler in windows the schtasks utility can be run directly on the command line, or the task scheduler can be opened through the gui within the administrator tools section of the co windows",persistence
"scheduled task adversaries may abuse the windows task scheduler to perform task scheduling for initial or recurring execution of malicious code there are multiple ways to access the task scheduler in windows the schtasks utility can be run directly on the command line, or the task scheduler can be opened through the gui within the administrator tools section of the co windows",privilege-escalation
"socket filters adversaries may attach filters to a network socket to monitor then activate backdoors used for persistence or command and control with elevated permissions, adversaries can use features such as the library to open sockets and install filters to allow or disallow certain types of data to come through the socket the filter may apply to all traffic passing through the specified network in linux macos windows",defense-evasion
"socket filters adversaries may attach filters to a network socket to monitor then activate backdoors used for persistence or command and control with elevated permissions, adversaries can use features such as the library to open sockets and install filters to allow or disallow certain types of data to come through the socket the filter may apply to all traffic passing through the specified network in linux macos windows",persistence
"socket filters adversaries may attach filters to a network socket to monitor then activate backdoors used for persistence or command and control with elevated permissions, adversaries can use features such as the library to open sockets and install filters to allow or disallow certain types of data to come through the socket the filter may apply to all traffic passing through the specified network in linux macos windows",command-and-control
"archive via utility adversaries may use utilities to compress and or encrypt collected data prior to exfiltration many utilities include functionalities to compress, encrypt, or otherwise package data into a format that is easier more secure to transport adversaries may abuse various utilities to compress or encrypt data before exfiltration some third party utilities may be preinstalled, such as <code>tar< code> linux macos windows",collection
"vnc adversaries may use valid accounts to remotely control machines using virtual network computing vnc vnc is a platform independent desktop sharing system that uses the rfb “remote framebuffer” protocol to enable users to remotely control another computer’s display by relaying the screen, mouse, and keyboard inputs over the network citation: the re linux windows macos",lateral-movement
