cve_id,cvss_score,exploit_type,port,priority_label
CVE-2018-19524,9.8,exploitdb,80,medium
CVE-2014-2575,6.5,exploitdb,80,medium
CVE-2015-2794,9.8,exploitdb,80,medium
CVE-2016-6272,7.5,exploitdb,443,medium
CVE-2014-4311,5.0,exploitdb,443,medium
CVE-2014-4312,4.3,exploitdb,443,medium
CVE-2015-5520,4.3,exploitdb,80,medium
CVE-2014-2043,6.5,exploitdb,80,medium
CVE-2019-13493,5.4,exploitdb,443,medium
CVE-2001-0093,7.2,exploitdb,23,medium
CVE-2004-0777,7.5,exploitdb,143,medium
CVE-2003-0849,7.5,exploitdb,5308,medium
CVE-2005-2878,7.5,exploitdb,143,medium
CVE-2001-0029,10.0,exploitdb,3128,medium
CVE-2001-0053,10.0,exploitdb,21,medium
CVE-2015-5452,7.5,exploitdb,443,medium
CVE-2015-5453,6.5,exploitdb,443,medium
CVE-2008-7232,10.0,metasploit,49,high
CVE-2014-5370,7.5,exploitdb,80,medium
CVE-2000-0443,7.5,exploitdb,8000,medium
CVE-2014-6271,9.8,exploitdb,444,high
CVE-2005-2799,7.5,exploitdb,80,medium
CVE-2017-6334,8.8,exploitdb,80,high
CVE-2016-6277,8.8,exploitdb,80,high
CVE-2016-10174,9.8,exploitdb,80,high
CVE-2016-10175,9.8,exploitdb,80,medium
CVE-2016-10176,9.8,exploitdb,80,medium
CVE-2019-9624,7.8,exploitdb,10000,medium
CVE-2014-8387,9.0,exploitdb,80,medium
CVE-2014-9345,7.5,exploitdb,80,medium
CVE-2015-9266,9.8,exploitdb,443,medium
CVE-2007-3010,9.8,exploitdb,443,high
CVE-2018-11509,9.8,exploitdb,8001,medium
CVE-2018-11510,9.8,exploitdb,8001,medium
CVE-2018-11511,9.8,exploitdb,8001,medium
CVE-2015-2248,6.8,exploitdb,443,medium
CVE-2010-3906,4.3,exploitdb,80,medium
CVE-2014-6137,4.3,exploitdb,52311,medium
CVE-2019-8387,9.8,exploitdb,80,medium
CVE-2017-16787,6.5,exploitdb,443,medium
CVE-2015-6023,7.3,exploitdb,80,medium
CVE-2015-6024,9.8,exploitdb,80,medium
CVE-2017-8835,9.8,exploitdb,443,medium
CVE-2017-8836,8.8,exploitdb,443,medium
CVE-2017-8837,9.8,exploitdb,443,medium
CVE-2017-8838,6.1,exploitdb,443,medium
CVE-2017-8839,6.1,exploitdb,443,medium
CVE-2017-8840,5.3,exploitdb,443,medium
CVE-2017-8841,8.1,exploitdb,443,medium
CVE-2018-20326,6.1,exploitdb,80,medium
CVE-2018-20503,6.1,exploitdb,80,medium
CVE-2014-6278,8.8,exploitdb,80,high
CVE-2013-6987,7.5,exploitdb,80,medium
CVE-2015-6911,7.5,exploitdb,5000,medium
CVE-2015-6912,10.0,exploitdb,5000,medium
CVE-2014-3806,5.0,exploitdb,80,medium
CVE-2014-2081,7.5,exploitdb,80,medium
CVE-2014-3976,5.0,exploitdb,80,medium
CVE-2000-0470,7.5,exploitdb,80,medium
CVE-2018-10594,9.8,exploitdb,80,medium
CVE-2013-0229,7.8,exploitdb,1900,medium
CVE-2013-0230,10.0,exploitdb,1900,medium
CVE-2013-4890,7.8,exploitdb,5600,medium
CVE-2015-5374,7.8,exploitdb,50000,medium
CVE-2019-6973,7.5,exploitdb,5000,medium
CVE-2018-15172,7.5,exploitdb,80,medium
CVE-2013-1606,7.5,exploitdb,554,medium
CVE-2015-2857,9.8,exploitdb,443,medium
CVE-2014-9583,10.0,exploitdb,9999,medium
CVE-2013-6343,10.0,exploitdb,80,medium
CVE-2018-5999,9.8,exploitdb,9999,medium
CVE-2018-6000,9.8,exploitdb,9999,medium
CVE-2014-1635,10.0,exploitdb,8080,medium
CVE-2016-6366,8.8,exploitdb,161,high
CVE-2017-3881,9.8,exploitdb,23,high
CVE-2017-3881,9.8,exploitdb,23,high
CVE-2003-0647,7.5,exploitdb,80,medium
CVE-2014-0683,10.0,exploitdb,443,medium
CVE-2015-6396,7.8,exploitdb,443,medium
CVE-2019-1663,9.8,exploitdb,443,medium
CVE-2014-6278,8.8,exploitdb,443,high
CVE-2014-3936,10.0,exploitdb,80,medium
CVE-2014-2927,9.3,exploitdb,22,medium
CVE-2014-3220,9.0,exploitdb,443,medium
CVE-2015-3628,9.0,exploitdb,443,medium
CVE-2005-3757,7.5,exploitdb,80,medium
CVE-2009-2684,4.3,exploitdb,80,medium
CVE-2009-2684,4.3,exploitdb,80,medium
CVE-2017-2741,9.8,exploitdb,9100,medium
CVE-2018-10123,8.8,exploitdb,9100,medium
CVE-2007-0883,5.0,exploitdb,80,medium
CVE-2018-17173,9.8,exploitdb,9080,medium
CVE-2016-1555,9.8,exploitdb,80,high
CVE-2013-2751,10.0,exploitdb,443,medium
CVE-2016-10174,9.8,exploitdb,80,high
CVE-2014-6271,9.8,exploitdb,9993,high
CVE-2014-7169,9.8,exploitdb,9993,high
CVE-2014-7910,7.5,exploitdb,9993,medium
CVE-2009-3710,10.0,exploitdb,8022,medium
CVE-2014-0659,10.0,exploitdb,32764,medium
CVE-2013-3623,10.0,exploitdb,80,medium
CVE-2005-0494,7.5,exploitdb,80,medium
CVE-2019-6989,8.8,exploitdb,80,medium
CVE-2013-6021,9.3,exploitdb,8080,medium
CVE-2017-8221,7.5,exploitdb,80,medium
CVE-2017-8222,7.5,exploitdb,80,medium
CVE-2017-8223,7.5,exploitdb,80,medium
CVE-2017-8224,9.8,exploitdb,80,medium
CVE-2017-8225,9.8,exploitdb,80,medium
CVE-2018-13109,7.5,exploitdb,80,medium
CVE-2018-11510,9.8,exploitdb,443,medium
CVE-2015-2279,9.8,exploitdb,8080,medium
CVE-2019-6967,8.8,exploitdb,80,medium
CVE-2018-17587,6.1,exploitdb,80,medium
CVE-2018-17588,6.1,exploitdb,80,medium
CVE-2018-17590,6.1,exploitdb,80,medium
CVE-2018-17591,6.1,exploitdb,80,medium
